trial_num,image_id,library
1,49.png,Gemini3_alcohol_12.25resize
2,48.png,Gemini3_alcohol_12.25resize
3,160.png,Gemini3_alcohol_12.25resize
4,N044.png,GAPED_neutral_resized
5,SDC11586.jpg,ABPS_alcohol
6,99.png,Gemini3_alcohol_12.25resize
7,22.png,Gemini3_alcohol_12.25resize
8,36.png,Gemini3_alcohol_12.25resize
9,68.png,Gemini3_alcohol_12.25resize
10,106.png,Gemini3_alcohol_12.25resize
11,32.png,Gemini3_alcohol_12.25resize
12,N040.png,GAPED_neutral_resized
13,SDC11504.jpg,ABPS_alcohol
14,178.png,Gemini3_alcohol_12.25resize
15,N028.png,GAPED_neutral_resized
16,51.png,Gemini3_alcohol_12.25resize
17,177.png,Gemini3_alcohol_12.25resize
18,41.png,Gemini3_alcohol_12.25resize
19,105.png,Gemini3_alcohol_12.25resize
20,43.png,Gemini3_alcohol_12.25resize
21,SDC11498.jpg,ABPS_alcohol
22,179.png,Gemini3_alcohol_12.25resize
23,100.png,Gemini3_alcohol_12.25resize
24,124.png,Gemini3_alcohol_12.25resize
25,N018.png,GAPED_neutral_resized
26,164.png,Gemini3_alcohol_12.25resize
27,47.png,Gemini3_alcohol_12.25resize
28,N021.png,GAPED_neutral_resized
29,70.png,Gemini3_alcohol_12.25resize
30,SDC11582.jpg,ABPS_alcohol
31,SDC11500.jpg,ABPS_alcohol
32,SDC11588.jpg,ABPS_alcohol
33,26.png,Gemini3_alcohol_12.25resize
34,171.png,Gemini3_alcohol_12.25resize
35,39.png,Gemini3_alcohol_12.25resize
36,N061.png,GAPED_neutral_resized
37,00653.png,WFAIS_alcohol_resized
38,N026.png,GAPED_neutral_resized
39,N064.png,GAPED_neutral_resized
40,N031.png,GAPED_neutral_resized
41,79.png,Gemini3_alcohol_12.25resize
42,170.png,Gemini3_alcohol_12.25resize
43,SDC11501.jpg,ABPS_alcohol
44,168.png,Gemini3_alcohol_12.25resize
45,N027.png,GAPED_neutral_resized
46,185.png,Gemini3_alcohol_12.25resize
47,117.png,Gemini3_alcohol_12.25resize
48,50.png,Gemini3_alcohol_12.25resize
49,N011.png,GAPED_neutral_resized
50,N043.png,GAPED_neutral_resized
51,46.png,Gemini3_alcohol_12.25resize
52,N067.png,GAPED_neutral_resized
53,118.png,Gemini3_alcohol_12.25resize
54,1.png,Gemini3_alcohol_12.25resize
55,173.png,Gemini3_alcohol_12.25resize
56,01064.png,WFAIS_alcohol_resized
57,00242.png,WFAIS_alcohol_resized
58,169.png,Gemini3_alcohol_12.25resize
59,N019.png,GAPED_neutral_resized
60,N010.png,GAPED_neutral_resized
61,37.png,Gemini3_alcohol_12.25resize
62,97.png,Gemini3_alcohol_12.25resize
63,52.png,Gemini3_alcohol_12.25resize
64,N075.png,GAPED_neutral_resized
65,N039.png,GAPED_neutral_resized
66,84.png,Gemini3_alcohol_12.25resize
67,N078.png,GAPED_neutral_resized
68,SDC11574.jpg,ABPS_alcohol
69,18.png,Gemini3_alcohol_12.25resize
70,N042.png,GAPED_neutral_resized
71,61.png,Gemini3_alcohol_12.25resize
72,N002.png,GAPED_neutral_resized
73,3.png,Gemini3_alcohol_12.25resize
74,7.png,Gemini3_alcohol_12.25resize
75,N066.png,GAPED_neutral_resized
76,N022.png,GAPED_neutral_resized
77,N030.png,GAPED_neutral_resized
78,130.png,Gemini3_alcohol_12.25resize
79,4.png,Gemini3_alcohol_12.25resize
80,144.png,Gemini3_alcohol_12.25resize
81,59.png,Gemini3_alcohol_12.25resize
82,138.png,Gemini3_alcohol_12.25resize
