trial_num,image_id,library,urge,val,aros,onset_time,rt_urge,rt_val,rt_arousal
1,49.png,Gemini3_alcohol_12.25resize,67.96875,33.59375,67.34375,80448.5613393,11.2254401999962,11.2254401999962,11.2254401999962
2,48.png,Gemini3_alcohol_12.25resize,69.53125,36.40625,38.75,80461.562437,18.5871149000013,18.5871149000013,18.5871149000013
3,160.png,Gemini3_alcohol_12.25resize,68.4375,28.28125,44.0625,80481.9388318,4.38959069999692,4.38959069999692,4.38959069999692
4,N044.png,GAPED_neutral_resized,67.1875,56.09375,57.34375,80488.040179,38.1367505999951,38.1367505999951,38.1367505999951
5,SDC11586.jpg,ABPS_alcohol,50,50,50,80528.2010063,14.3763079999917,14.3763079999917,14.3763079999917
6,99.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,80544.3742245,NaN,NaN,NaN
7,22.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,36.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,68.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,106.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,32.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,N040.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,SDC11504.jpg,ABPS_alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,178.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,N028.png,GAPED_neutral_resized,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,51.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,177.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,41.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,105.png,Gemini3_alcohol_12.25resize,NaN,NaN,NaN,NaN,NaN,NaN,NaN
